id,city,temperature,feels_like,humidity,pressure,wind_speed,clouds,description,timestamp,record_date
220,Hà Nội,16.0,15.77,81,1026,2.4,100,mây đen u ám,2025-11-19 19:32:18,2025-11-19
221,Hải Phòng,14.95,14.25,67,1025,1.54,0,mưa vừa,2025-11-19 19:32:19,2025-11-19
222,Đà Nẵng,20.99,21.31,83,1021,7.72,75,mây cụm,2025-11-19 19:32:20,2025-11-19
223,An Giang,24.32,25.26,94,1010,5.3,89,mưa nhẹ,2025-11-19 19:32:21,2025-11-19
224,Bạc Liêu,25.66,26.61,89,1011,7.52,95,mây đen u ám,2025-11-19 19:32:22,2025-11-19
225,Bắc Giang,15.29,14.86,76,1026,2.85,100,mây đen u ám,2025-11-19 19:32:24,2025-11-19
226,Bến Tre,24.23,25.08,91,1011,2.47,99,mây đen u ám,2025-11-19 19:32:25,2025-11-19
227,Bình Dương,22.28,23.07,96,1017,7.34,100,mưa nhẹ,2025-11-19 19:32:26,2025-11-19
228,Bình Định,19.84,20.2,89,1022,1.67,100,mây đen u ám,2025-11-19 19:32:26,2025-11-19
229,Cà Mau,24.57,25.54,94,1011,3.84,100,mây đen u ám,2025-11-19 19:32:28,2025-11-19
230,Cao Bằng,14.05,13.63,81,1026,0.16,93,mây đen u ám,2025-11-19 19:32:29,2025-11-19
231,Gia Lai,19.97,20.03,77,1015,4.39,100,mây đen u ám,2025-11-19 19:32:34,2025-11-19
232,Hà Giang,14.5,14.25,86,1026,0.48,100,mưa nhẹ,2025-11-19 19:32:34,2025-11-19
233,Hà Nam,20.06,20.29,83,1022,5.66,75,mây cụm,2025-11-19 19:32:35,2025-11-19
234,Hà Tĩnh,14.72,14.39,82,1025,3.4,100,mây đen u ám,2025-11-19 19:32:36,2025-11-19
235,Hòa Bình,14.21,14.06,91,1026,1.16,93,mây đen u ám,2025-11-19 19:32:38,2025-11-19
236,Khánh Hòa,24.29,25.05,87,1012,6.08,100,mưa vừa,2025-11-19 19:32:40,2025-11-19
237,Lạng Sơn,10.93,10.27,84,1027,1.98,98,mây đen u ám,2025-11-19 19:32:43,2025-11-19
238,Long An,24.25,25.05,89,1011,3.19,96,mây đen u ám,2025-11-19 19:32:45,2025-11-19
239,Nam Định,14.88,14.43,77,1025,4.59,100,mây đen u ám,2025-11-19 19:32:45,2025-11-19
240,Ninh Bình,14.62,14.3,83,1026,3.38,100,mây đen u ám,2025-11-19 19:32:47,2025-11-19
241,Quảng Ngãi,20.33,20.93,96,1020,5.29,100,mưa vừa,2025-11-19 19:32:51,2025-11-19
242,Quảng Trị,19.82,20.08,85,1022,5.35,100,mây đen u ám,2025-11-19 19:32:53,2025-11-19
243,Sơn La,11.36,11.01,94,1025,0.98,100,mây đen u ám,2025-11-19 19:32:54,2025-11-19
244,Tây Ninh,-1.15,-3.5,30,1032,1.78,100,mây đen u ám,2025-11-19 19:32:55,2025-11-19
245,Thái Bình,14.57,13.99,73,1025,4.39,100,mưa nhẹ,2025-11-19 19:32:56,2025-11-19
246,Trà Vinh,25.13,26.07,91,1011,5.17,97,mây đen u ám,2025-11-19 19:32:59,2025-11-19
247,Tuyên Quang,14.96,14.73,85,1026,0.67,98,mưa nhẹ,2025-11-19 19:33:00,2025-11-19
248,Vĩnh Phúc,13.2,12.74,83,1026,2.78,98,mây đen u ám,2025-11-19 19:33:02,2025-11-19
249,Yên Bái,14.9,14.72,87,1026,0.46,91,mây đen u ám,2025-11-19 19:33:03,2025-11-19
251,Hải Phòng,14.95,14.25,67,1025,0.51,0,bầu trời quang đãng,2025-11-19 20:29:50,2025-11-19
252,Đà Nẵng,19.99,20.5,94,1021,8.23,100,mây đen u ám,2025-11-19 20:29:51,2025-11-19
253,Cần Thơ,23.99,25.06,100,1011,1.54,75,mây cụm,2025-11-19 20:29:51,2025-11-19
254,An Giang,24.3,25.14,90,1012,4.64,100,mưa nhẹ,2025-11-19 20:29:52,2025-11-19
255,Bắc Kạn,13.66,13.43,90,1026,0.59,100,mưa nhẹ,2025-11-19 20:29:54,2025-11-19
256,Bắc Ninh,16.05,15.8,80,1026,2.95,100,mây đen u ám,2025-11-19 20:29:55,2025-11-19
257,Bình Dương,22.28,23.07,96,1017,7.34,100,mây đen u ám,2025-11-19 20:29:57,2025-11-19
258,Hà Giang,14.5,14.25,86,1026,0.48,100,mây đen u ám,2025-11-19 20:30:06,2025-11-19
259,Hà Nam,20.06,20.13,77,1022,3.6,75,mây cụm,2025-11-19 20:30:06,2025-11-19
260,Hòa Bình,14.21,14.06,91,1026,1.16,93,mưa nhẹ,2025-11-19 20:30:09,2025-11-19
261,Hưng Yên,14.92,14.53,79,1025,3.19,100,mây đen u ám,2025-11-19 20:30:10,2025-11-19
262,Kon Tum,18.95,18.89,76,1017,3.52,100,mây đen u ám,2025-11-19 20:30:12,2025-11-19
263,Lai Châu,8.8,7.97,89,1025,1.8,93,mây đen u ám,2025-11-19 20:30:12,2025-11-19
264,Lào Cai,13.71,13.54,92,1027,0.39,84,mây cụm,2025-11-19 20:30:14,2025-11-19
265,Phú Thọ,23.75,24.69,96,1013,5.92,100,mưa nhẹ,2025-11-19 20:30:19,2025-11-19
266,Quảng Ngãi,20.33,20.93,96,1020,5.29,100,mây đen u ám,2025-11-19 20:30:21,2025-11-19
267,Sóc Trăng,25.04,26.03,93,1011,5.31,100,mây đen u ám,2025-11-19 20:30:23,2025-11-19
268,Thái Bình,14.57,13.99,73,1025,4.39,100,mây đen u ám,2025-11-19 20:30:25,2025-11-19
269,Thanh Hóa,14.56,14.21,82,1026,2.04,100,mưa nhẹ,2025-11-19 20:30:27,2025-11-19
270,Tuyên Quang,14.88,14.64,85,1026,0.71,100,mưa vừa,2025-11-19 20:30:29,2025-11-19
271,Vĩnh Long,24.74,25.7,93,1011,3.74,93,mây đen u ám,2025-11-19 20:30:30,2025-11-19
